city,row_num,title,epg_id
Ростов-на-Дону,158,Евроновости,epg353
Ростов-на-Дону,159,Матч! Боец,epg103
Ростов-на-Дону,160,ТНТ Music,epg638
Ростов-на-Дону,161,Viasat Explore,epg85
Ростов-на-Дону,162,КИНОКОМЕДИЯ,epg112
Ростов-на-Дону,163,Viasat Nature,epg84
Ростов-на-Дону,164,H2,epg640
Ростов-на-Дону,165,Game Show,epg642
Ростов-на-Дону,166,CBS Reality,epg366
Ростов-на-Дону,167,Морской,epg568
Ростов-на-Дону,168,Ювелирочка,epg653
Ростов-на-Дону,169,Russian Extreme TV Ultra HD (тест),epg665
Ростов-на-Дону,170,Russian Extreme TV Ultra HD (тест),epg665
Волгоград,1,Первый канал,epg1
Волгоград,2,Россия 1,epg2
Волгоград,3,Матч ТВ,epg611
Волгоград,4,НТВ,epg4
Волгоград,5,Пятый канал,epg5
Волгоград,6,Культура,epg6
Волгоград,7,Россия 24,epg7volgograd
Волгоград,8,Карусель,epg8
Волгоград,9,Общественное телевидение России,epg264
Волгоград,10,ТВ Центр,epg14
Волгоград,11,ТНТ,epg10
Волгоград,12,СТС,epg9
Волгоград,13,РЕН,epg13
Волгоград,14,Мульт,epg524
Волгоград,15,Че,epg612
Волгоград,16,ТВ-3,epg15
Волгоград,17,Пятница!,epg266
Волгоград,18,Домашний,epg21
Волгоград,19,Детский мир / Телеклуб,epg30
Волгоград,20,2х2,epg20
Волгоград,21,Discovery Channel,epg25
Волгоград,22,Animal Planet,epg26
Волгоград,23,National Geographic,epg24
Волгоград,24,Моя планета,epg27
Волгоград,25,Драйв,epg28
Волгоград,26,Охота и рыбалка,epg29
Волгоград,27,Звезда,epg22
Волгоград,28,Shop24,epg283
Волгоград,29,Дом кино,epg37
Волгоград,30,TV 1000,epg35
Волгоград,31,TV 1000 Русское кино,epg36
Волгоград,32,Shop&Show,epg623
Волгоград,33,Ю,epg16
Волгоград,34,Cartoon Network,epg31
Волгоград,35,Мультимания,epg33
Волгоград,36,Усадьба,epg55
Волгоград,37,Здоровое ТВ,epg54
