"harm","ampl","angle","submarker","source_harm","round_harm","marker"
1.01859163578813,97.9051986654136,0.43,"0",64,1,"0 - 3"
2.02126777726707,157.299180634315,0.43,"3",127,2,"0 - 3"
0.0159154943091895,37.6168814406417,0.45,"1",1,0,"0 - 3"
1.01859163578813,101.68401308975,0.45,"0",64,1,"0 - 3"
2.02126777726707,155.391563549089,0.45,"3",127,2,"0 - 3"
0.0159154943091895,36.2048243825712,0.47,"1",1,0,"0 - 3"
1.01859163578813,105.353617655569,0.47,"0",64,1,"0 - 3"
2.02126777726707,153.537587941028,0.47,"3",127,2,"0 - 3"
0.0159154943091895,34.6177614113486,0.49,"1",1,0,"0 - 3"
1.01859163578813,108.919750860936,0.49,"0",64,1,"0 - 3"
2.02126777726707,151.763619595063,0.49,"3",127,2,"0 - 3"
0.0159154943091895,32.860333821847,0.51,"1",1,0,"0 - 3"
1.01859163578813,112.388213659153,0.51,"0",64,1,"0 - 3"
2.02126777726707,150.093998449827,0.51,"3",127,2,"0 - 3"
0.0159154943091895,30.9409329581158,0.53,"1",1,0,"0 - 3"
1.01859163578813,115.76319478259,0.53,"0",64,1,"0 - 3"
2.02126777726707,148.548757988493,0.53,"3",127,2,"0 - 3"
0.0159154943091895,28.8722206813829,0.55,"1",1,0,"0 - 3"
1.01859163578813,119.045895271488,0.55,"0",64,1,"0 - 3"
2.02126777726707,147.142708166084,0.55,"3",127,2,"0 - 3"
0.0159154943091895,26.6710548286614,0.57,"1",1,0,"0 - 3"
1.01859163578813,122.233765409969,0.57,"0",64,1,"0 - 3"
2.02126777726707,145.886192346508,0.57,"3",127,2,"0 - 3"
0.0159154943091895,24.3576456488671,0.59,"1",1,0,"0 - 3"
1.01859163578813,125.320487938742,0.59,"0",64,1,"0 - 3"
2.02126777726707,144.787180745986,0.59,"3",127,2,"0 - 3"
0.0159154943091895,21.9539401055342,0.61,"1",1,0,"0 - 3"
1.01859163578813,128.296590276794,0.61,"0",64,1,"0 - 3"
2.02126777726707,143.85376609007,0.61,"3",127,2,"0 - 3"
0.0159154943091895,19.4814857160846,0.63,"1",1,0,"0 - 3"
1.01859163578813,131.150333280418,0.63,"0",64,1,"0 - 3"
2.02126777726707,143.095895463764,0.63,"3",127,2,"0 - 3"
0.0159154943091895,16.9592723124474,0.65,"1",1,0,"0 - 3"
1.01859163578813,133.868424145956,0.65,"0",64,1,"0 - 3"
2.02126777726707,142.525492673716,0.65,"3",127,2,"0 - 3"
0.0159154943091895,14.4021429490731,0.67,"1",1,0,"0 - 3"
1.01859163578813,136.436205488291,0.67,"0",64,1,"0 - 3"
2.02126777726707,142.154879444355,0.67,"3",127,2,"0 - 3"
0.0159154943091895,11.8202039606933,0.69,"1",1,0,"0 - 3"
