"","Package","LibPath","Version","Priority","Depends","Imports","NeedsCompilation","Built","whereat"
"benchmarkmeData","benchmarkmeData","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.4",NA,"R (>= 3.5.0)","dplyr, graphics, tibble, utils","no","4.0.0","CRAN"
"benchr","benchr","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.5",NA,NA,"Rcpp (>= 0.12.11), RcppProgress, stats, graphics","yes","4.0.0","CRAN"
"betareg","betareg","C:/Users/Ilya/Documents/R/win-library/4.0","3.1-3",NA,"R (>= 3.0.0)","graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich","no","4.0.0","CRAN"
"BH","BH","C:/Users/Ilya/Documents/R/win-library/4.0","1.72.0-3",NA,NA,NA,"no","4.0.0","CRAN"
"BiasedUrn","BiasedUrn","C:/Users/Ilya/Documents/R/win-library/4.0","1.07",NA,NA,NA,"yes","4.0.0","CRAN"
"bibtex","bibtex","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.2.2",NA,"R (>= 3.0.2)","stringr, utils","yes","4.0.0","CRAN"
"biclust","biclust","C:/Users/Ilya/Documents/R/win-library/4.0","2.0.2",NA,"R (>= 2.10), MASS, grid, colorspace, lattice","methods, flexclust, additivityTests, tidyr, ggplot2","yes","4.0.0","CRAN"
"bigassertr","bigassertr","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.3",NA,NA,NA,"no","4.0.0","CRAN"
"biglm","biglm","C:/Users/Ilya/Documents/R/win-library/4.0","0.9-2",NA,"DBI, methods",NA,"yes","4.0.0","CRAN"
"bigmemory","bigmemory","C:/Users/Ilya/Documents/R/win-library/4.0","4.5.36",NA,"R (>= 3.2.0),","methods, Rcpp, utils, bigmemory.sri","yes","4.0.0","CRAN"
"bigmemory.sri","bigmemory.sri","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.3",NA,NA,"methods","no","4.0.0","CRAN"
"bigreadr","bigreadr","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.0",NA,NA,"bigassertr (>= 0.1.1), data.table, Rcpp, parallel, utils","yes","4.0.0","CRAN"
"binaryLogic","binaryLogic","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.9",NA,"R (>= 3.0.2)",NA,"no","4.0.2","CRAN"
"bindr","bindr","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.1",NA,NA,NA,"no","4.0.0","CRAN"
"bindrcpp","bindrcpp","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.2",NA,NA,"bindr (>= 0.1.1), Rcpp (>= 0.12.16)","yes","4.0.0","CRAN"
"binman","binman","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.1",NA,"R (>= 3.3)","rappdirs, yaml, httr, jsonlite, xml2, utils, stats,
assertthat, semver","no","4.0.0","CRAN"
"binom","binom","C:/Users/Ilya/Documents/R/win-library/4.0","1.1-1",NA,NA,NA,"yes","4.0.0","CRAN"
"BiocManager","BiocManager","C:/Users/Ilya/Documents/R/win-library/4.0","1.30.10",NA,NA,"utils","no","4.0.0","CRAN"
"bit","bit","C:/Users/Ilya/Documents/R/win-library/4.0","1.1-15.2",NA,"R (>= 2.9.2)",NA,"yes","4.0.0","CRAN"
"bit64","bit64","C:/Users/Ilya/Documents/R/win-library/4.0","0.9-7",NA,"R (>= 3.0.1), bit (>= 1.1-12), utils, methods, stats",NA,"yes","4.0.0","CRAN"
"bitops","bitops","C:/Users/Ilya/Documents/R/win-library/4.0","1.0-6",NA,NA,NA,"yes","4.0.0","CRAN"
"blme","blme","C:/Users/Ilya/Documents/R/win-library/4.0","1.0-4",NA,"R (>= 3.0-0), lme4 (>= 1.0-6)","methods, stats, utils","no","4.0.0","CRAN"
"blob","blob","C:/Users/Ilya/Documents/R/win-library/4.0","1.2.1",NA,NA,"methods, rlang, vctrs (>= 0.2.1)","no","4.0.0","CRAN"
"blogdown","blogdown","C:/Users/Ilya/Documents/R/win-library/4.0","0.20",NA,NA,"rmarkdown (>= 1.16), bookdown (>= 0.14), knitr (>= 1.25),
htmltools, yaml (>= 2.1.19), httpuv (>= 1.4.0), xfun (>= 0.10),
servr (>= 0.15)","no","4.0.2","CRAN"
"BMA","BMA","C:/Users/Ilya/Documents/R/win-library/4.0","3.18.12",NA,"survival, leaps, robustbase, inline, rrcov","methods","yes","4.0.0","CRAN"
"bmp","bmp","C:/Users/Ilya/Documents/R/win-library/4.0","0.3",NA,NA,NA,"no","4.0.0","CRAN"
"bookdown","bookdown","C:/Users/Ilya/Documents/R/win-library/4.0","0.20",NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 2.3),
xfun (>= 0.6), tinytex (>= 0.12)","no","4.0.2","CRAN"
"Boruta","Boruta","C:/Users/Ilya/Documents/R/win-library/4.0","7.0.0",NA,NA,"ranger","no","4.0.0","CRAN"
"BradleyTerry2","BradleyTerry2","C:/Users/Ilya/Documents/R/win-library/4.0","1.1-2",NA,"R (>= 2.10)","brglm, gtools, lme4 (>= 1.0), qvcalc, stats","no","4.0.0","CRAN"
"brew","brew","C:/Users/Ilya/Documents/R/win-library/4.0","1.0-6",NA,NA,NA,NA,"4.0.0","CRAN"
"brglm","brglm","C:/Users/Ilya/Documents/R/win-library/4.0","0.6.2",NA,"R (>= 2.6.0), profileModel",NA,"yes","4.0.0","CRAN"
"bridgesampling","bridgesampling","C:/Users/Ilya/Documents/R/win-library/4.0","1.0-0",NA,"R (>= 3.0.0)","mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales,
utils, methods","no","4.0.0","CRAN"
"brms","brms","C:/Users/Ilya/Documents/R/win-library/4.0","2.13.0",NA,"R (>= 3.5.0), Rcpp (>= 0.12.0), methods","rstan (>= 2.19.2), ggplot2 (>= 2.0.0), loo (>= 2.2.0), Matrix
(>= 1.1.1), mgcv (>= 1.8-13), rstantools (>= 2.0.0), bayesplot
(>= 1.5.0), shinystan (>= 2.4.0), bridgesampling (>= 0.3-0),
glue (>= 1.3.0), matrixStats, nleqslv, nlme, coda, abind,
future, stats, utils, parallel, grDevices, backports","no","4.0.0","CRAN"
"Brobdingnag","Brobdingnag","C:/Users/Ilya/Documents/R/win-library/4.0","1.2-6",NA,"R (>= 2.13.0), methods",NA,"no","4.0.0","CRAN"
"broom","broom","C:/Users/Ilya/Documents/R/win-library/4.0","0.7.0",NA,"R (>= 3.1)","backports, dplyr, ellipsis, generics (>= 0.0.2), glue,
methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr","no","4.0.2","CRAN"
"broom.mixed","broom.mixed","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.6",NA,NA,"broom, dplyr, tidyr, plyr, purrr, tibble, reshape2, nlme,
methods, stringr, coda, TMB, cubelyr","no","4.0.2","CRAN"
"BSDA","BSDA","C:/Users/Ilya/Documents/R/win-library/4.0","1.2.0",NA,"lattice, R (>= 2.10)","e1071","no","4.0.0","CRAN"
"bsplus","bsplus","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.2",NA,"R (>= 3.3.0)","htmltools, magrittr, purrr, lubridate, stringr, rmarkdown,
methods, glue, jsonlite","no","4.0.2","CRAN"
"btergm","btergm","C:/Users/Ilya/Documents/R/win-library/4.0","1.9.9",NA,"R (>= 3.5), xergm.common (>= 1.7.7), ggplot2 (>= 2.0.0)","stats4, utils, methods, graphics, network (>= 1.13.0), sna (>=
2.3.2), ergm (>= 3.10.0), parallel, Matrix (>= 1.2.2), boot (>=
1.3.17), coda (>= 0.18.1), stats, ROCR (>= 1.0.7), speedglm (>=
0.3.1), igraph (>= 0.7.1), RSiena (>= 1.0.12.232),
statnet.common (>= 4.2.0)","no","4.0.0","CRAN"
"bupaR","bupaR","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.4",NA,NA,"magrittr, dplyr, data.table, shiny, miniUI, purrr, tidyr,
glue, forcats, rlang, eventdataR (>= 0.2.0), stringr, lubridate","no","4.0.0","CRAN"
"ca","ca","C:/Users/Ilya/Documents/R/win-library/4.0","0.71.1",NA,"R (>= 3.0.0)",NA,"no","4.0.0","CRAN"
"Cairo","Cairo","C:/Users/Ilya/Documents/R/win-library/4.0","1.5-12.2",NA,"R (>= 2.4.0)","grDevices, graphics","yes","4.0.2","CRAN"
"cairoDevice","cairoDevice","C:/Users/Ilya/Documents/R/win-library/4.0","2.28.2",NA,"R (>= 2.12.0)","grDevices","yes","4.0.2","CRAN"
"callr","callr","C:/Users/Ilya/Documents/R/win-library/4.0","3.4.3",NA,NA,"processx (>= 3.4.0), R6, utils","no","4.0.0","CRAN"
"car","car","C:/Users/Ilya/Documents/R/win-library/4.0","3.0-8",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme","no","4.0.0","CRAN"
"carData","carData","C:/Users/Ilya/Documents/R/win-library/4.0","3.0-4",NA,"R (>= 3.5.0)",NA,"no","4.0.0","CRAN"
"caret","caret","C:/Users/Ilya/Documents/R/win-library/4.0","6.0-86",NA,"R (>= 3.2.0), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.2.2.2), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.10),
withr (>= 2.0.0), pROC,","yes","4.0.0","CRAN"
"caTools","caTools","C:/Users/Ilya/Documents/R/win-library/4.0","1.18.0",NA,"R (>= 3.6.0)","bitops","yes","4.0.0","CRAN"
"cba","cba","C:/Users/Ilya/Documents/R/win-library/4.0","0.2-21",NA,"R (>= 2.10), grid, proxy","stats, graphics, grDevices, methods","yes","4.0.0","CRAN"
"cdata","cdata","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.6",NA,"R (>= 3.4.0), wrapr (>= 1.9.6)","rquery (>= 1.4.2), rqdatatable (>= 1.2.6), methods, stats","no","4.0.0","CRAN"
"cellranger","cellranger","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble","no","4.0.0","CRAN"
"checkmate","checkmate","C:/Users/Ilya/Documents/R/win-library/4.0","2.0.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils","yes","4.0.0","CRAN"
"chron","chron","C:/Users/Ilya/Documents/R/win-library/4.0","2.3-55",NA,"R (>= 2.12.0)","graphics, stats","yes","4.0.0","CRAN"
"circlize","circlize","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.10",NA,"R (>= 3.0.0), graphics","GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid","no","4.0.0","CRAN"
"CircStats","CircStats","C:/Users/Ilya/Documents/R/win-library/4.0","0.2-6",NA,"MASS, boot",NA,"no","4.0.0","CRAN"
"classInt","classInt","C:/Users/Ilya/Documents/R/win-library/4.0","0.4-3",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth","yes","4.0.0","CRAN"
"cli","cli","C:/Users/Ilya/Documents/R/win-library/4.0","2.0.2",NA,"R (>= 2.10)","assertthat, crayon (>= 1.3.4), glue, methods, utils, fansi","no","4.0.0","CRAN"
"cliapp","cliapp","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.0",NA,NA,"cli, crayon, fansi, glue (>= 1.3.0), prettycode, progress (>=
1.2.0), R6, selectr, utils, withr, xml2","no","4.0.0","CRAN"
"clipr","clipr","C:/Users/Ilya/Documents/R/win-library/4.0","0.7.0",NA,NA,"utils","no","4.0.0","CRAN"
"clisymbols","clisymbols","C:/Users/Ilya/Documents/R/win-library/4.0","1.2.0",NA,NA,NA,"no","4.0.0","CRAN"
"clubSandwich","clubSandwich","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.2",NA,"R (>= 3.0.0)","stats, sandwich","no","4.0.0","CRAN"
"clue","clue","C:/Users/Ilya/Documents/R/win-library/4.0","0.3-57",NA,"R (>= 3.2.0)","stats, cluster, graphics, methods","yes","4.0.0","CRAN"
"clusterSEs","clusterSEs","C:/Users/Ilya/Documents/R/win-library/4.0","2.6.2",NA,"R (>= 3.3.0), AER, Formula, plm, stats","sandwich, lmtest, mlogit, utils","no","4.0.0","CRAN"
"clv","clv","C:/Users/Ilya/Documents/R/win-library/4.0","0.3-2.2",NA,"cluster, class",NA,"yes","4.0.0","CRAN"
"cmna","cmna","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.3",NA,"R (>= 2.10)",NA,"no","4.0.2","CRAN"
"cmprsk","cmprsk","C:/Users/Ilya/Documents/R/win-library/4.0","2.2-10",NA,"R (>= 3.0.0), survival",NA,"yes","4.0.0","CRAN"
"coda","coda","C:/Users/Ilya/Documents/R/win-library/4.0","0.19-3",NA,"R (>= 2.14.0)","lattice","no","4.0.0","CRAN"
"coin","coin","C:/Users/Ilya/Documents/R/win-library/4.0","1.3-1",NA,"R (>= 3.4.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-0),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp","yes","4.0.0","CRAN"
"colorRamps","colorRamps","C:/Users/Ilya/Documents/R/win-library/4.0","2.3",NA,NA,NA,NA,"4.0.0","CRAN"
"colorspace","colorspace","C:/Users/Ilya/Documents/R/win-library/4.0","1.4-1",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats","yes","4.0.0","CRAN"
"colourpicker","colourpicker","C:/Users/Ilya/Documents/R/win-library/4.0","1.0",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs, utils","no","4.0.0","CRAN"
"colourvalues","colourvalues","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.5",NA,"R (>= 3.3.0)","graphics, Rcpp","yes","4.0.0","CRAN"
"combinat","combinat","C:/Users/Ilya/Documents/R/win-library/4.0","0.0-8",NA,NA,NA,NA,"4.0.0","CRAN"
"commonmark","commonmark","C:/Users/Ilya/Documents/R/win-library/4.0","1.7",NA,NA,NA,"yes","4.0.0","CRAN"
"compareDF","compareDF","C:/Users/Ilya/Documents/R/win-library/4.0","2.2.0",NA,"R (>= 3.5.0)","dplyr (>= 0.4.3), magrittr (>= 1.5), htmlTable (>= 1.5),
openxlsx (>= 4.1), tidyr (>= 0.4.1), stringr (>= 1.0.0), tibble
(>= 2.1.3)","no","4.0.0","CRAN"
"CompQuadForm","CompQuadForm","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.3",NA,NA,NA,"yes","4.0.0","CRAN"
"concaveman","concaveman","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.0",NA,"R (>= 2.10)","V8, sf, magrittr, jsonlite, dplyr","no","4.0.0","CRAN"
"config","config","C:/Users/Ilya/Documents/R/win-library/4.0","0.3",NA,NA,"yaml (>= 2.1.13)","no","4.0.0","CRAN"
"configr","configr","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.4",NA,"R (>= 3.3.0)","jsonlite (>= 1.2), ini (>= 0.2), yaml (>= 2.1.3), RcppTOML (>=
0.1.3), stringr (>= 1.2.0), utils, glue","no","4.0.0","CRAN"
"conflicted","conflicted","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.4",NA,"R (>= 3.2)","rlang (>= 0.3.4), memoise","no","4.0.0","CRAN"
"conquer","conquer","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.1",NA,"R (>= 3.6.0)","Rcpp (>= 1.0.3), Matrix, matrixStats, stats","yes","4.0.2","CRAN"
"contfrac","contfrac","C:/Users/Ilya/Documents/R/win-library/4.0","1.1-12",NA,NA,NA,"yes","4.0.0","CRAN"
"corrgram","corrgram","C:/Users/Ilya/Documents/R/win-library/4.0","1.13",NA,NA,"graphics, grDevices, seriation, stats","no","4.0.0","CRAN"
