"timestamp","delta_time","bandwidth_in","bandwidth_out"
"07/04/2015 08:59:04",3603,10.10666180,0.50142974
"07/04/2015 09:59:16",3612,16.56608391,1.33573377
"07/04/2015 10:59:04",3588,34.26205063,4.51298380
"07/04/2015 11:58:46",3582,22.80751228,2.10609174
"07/04/2015 12:59:19",3633,17.20453835,1.43506575
"07/04/2015 13:59:23",3604,22.67438698,1.63015568
"07/04/2015 14:58:28",3545,30.94091988,2.21033549
"07/04/2015 15:59:23",3655,23.83472824,3.47913694
"07/04/2015 16:59:33",3610,25.39353371,2.09913301
"07/04/2015 17:58:45",3552,21.78475952,1.68528485
"07/04/2015 18:59:39",3654,11.82691097,0.91435748
"07/04/2015 19:59:45",3606,5.05411386,0.38297826
"07/04/2015 20:58:52",3547,5.36733961,0.28320774
"07/04/2015 21:59:51",3659,3.66299129,0.26031458
"07/04/2015 22:58:57",3546,5.12955475,0.24746205
"07/04/2015 23:59:51",3654,3.70576167,0.19431029
"08/04/2015 00:59:00",3549,0.53635031,0.11705147
"08/04/2015 01:59:10",3610,0.32715803,0.12260918
"08/04/2015 02:59:09",3599,0.35795861,0.10296182
"08/04/2015 03:59:16",3607,0.47491601,0.10422479
"08/04/2015 04:59:21",3605,1.15126967,0.12048354
"08/04/2015 05:59:12",3591,1.60205245,0.13163134
"08/04/2015 06:59:18",3606,3.50322843,0.16518943
"08/04/2015 07:59:22",3604,3.55715799,0.18698798
"08/04/2015 08:59:10",3588,11.23916340,0.57963538
"08/04/2015 09:59:08",3598,41.25687790,2.25025916
"08/04/2015 10:59:37",3629,26.67853165,1.69600809
"08/04/2015 11:59:13",3576,35.77744293,1.90604210
"08/04/2015 12:59:58",3645,16.50796700,4.45053053
"08/04/2015 13:59:49",3591,25.52074051,1.72016490
"08/04/2015 14:58:53",3544,28.39684296,1.68964851
"08/04/2015 15:59:45",3652,18.24885178,2.15899563
"08/04/2015 16:59:48",3603,21.54598808,2.80408311
"08/04/2015 17:58:54",3546,21.15009689,1.62945032
"08/04/2015 18:59:49",3655,35.90208054,2.10975933
"08/04/2015 19:59:59",3610,18.00949860,1.37157905
"08/04/2015 20:59:05",3546,1.47952354,0.49720904
"08/04/2015 21:59:07",3602,1.11732018,0.26186475
"08/04/2015 22:59:12",3605,1.82676029,0.20749108
"08/04/2015 23:59:05",3593,2.95311689,0.19265564
"09/04/2015 00:59:22",3617,0.38605973,0.13971995
"09/04/2015 01:58:27",3545,0.33521771,0.13410357
"09/04/2015 02:59:21",3654,0.34816951,0.13498507
"09/04/2015 03:59:25",3604,0.34208974,0.15387958
"09/04/2015 04:58:31",3546,0.24670979,0.12619556
"09/04/2015 05:59:24",3653,0.22669402,0.12064487
"09/04/2015 06:59:29",3605,0.69903690,0.12914047
"09/04/2015 07:58:39",3550,2.19918847,0.17943075
"09/04/2015 08:59:28",3649,6.35696793,0.44302186
"09/04/2015 09:58:34",3546,17.80416489,1.25108194
"09/04/2015 10:58:38",3604,26.01472282,1.64886510
"09/04/2015 11:59:32",3654,24.81124687,2.65373492
"09/04/2015 12:59:37",3605,20.66216850,1.55773890
"09/04/2015 13:58:39",3542,20.77397728,2.26138759
"09/04/2015 14:59:31",3652,15.69004631,2.11677861
"09/04/2015 15:59:32",3601,25.53396606,3.39927268
"09/04/2015 16:59:02",3570,24.15932655,2.19717240
"09/04/2015 17:59:05",3603,25.49287224,2.80208015
"09/04/2015 18:59:12",3607,18.47665405,6.35138226
"09/04/2015 19:59:34",3622,13.42667198,2.18014193
"09/04/2015 20:59:42",3608,5.21199560,0.34347537
"09/04/2015 21:59:17",3575,1.62890792,0.23336129
"09/04/2015 22:59:20",3603,6.47855425,0.29746985
"09/04/2015 23:58:22",3542,11.00477505,0.36640927
"10/04/2015 00:59:11",3649,3.34252596,0.18514252
"10/04/2015 01:59:14",3603,0.91441268,0.13905610
"10/04/2015 02:58:15",3541,1.08433926,0.15571611
"10/04/2015 03:59:04",3649,0.89056814,0.10509421
"10/04/2015 04:59:08",3604,0.48049694,0.08547150
"10/04/2015 05:58:12",3544,0.85763943,0.09334992
"10/04/2015 06:59:07",3655,1.95170009,0.12262589
"10/04/2015 07:59:16",3609,3.92439818,0.17819843
"10/04/2015 08:59:35",3619,7.06735706,1.41193902
"10/04/2015 09:59:30",3595,25.29368401,7.50795317
"10/04/2015 10:59:34",3604,33.92451859,3.32115149
"10/04/2015 11:59:34",3600,25.05126572,2.11396599
"10/04/2015 12:59:52",3618,22.86850548,2.15204620
"10/04/2015 13:59:35",3583,16.90044212,2.49563241
"10/04/2015 14:59:10",3575,32.39011002,3.24605513
"10/04/2015 15:58:24",3554,18.59574890,2.03519797
"10/04/2015 16:59:34",3670,24.59333420,2.00774527
"10/04/2015 17:59:40",3606,16.39957619,1.30072653
"10/04/2015 18:59:33",3593,10.07489681,0.86219150
"10/04/2015 19:59:39",3606,4.54496527,0.51911575
"10/04/2015 20:59:39",3600,2.87157989,0.21668465
"10/04/2015 21:59:11",3572,1.84237707,0.19318138
"10/04/2015 22:59:20",3609,3.16252875,0.17535284
"10/04/2015 23:59:13",3593,7.25783205,0.21952815
"11/04/2015 00:59:18",3605,5.18975639,0.17198314
"11/04/2015 01:59:23",3605,0.26290074,0.07259297
"11/04/2015 02:59:19",3596,0.38831899,0.07451027
"11/04/2015 03:59:22",3603,0.52089602,0.08541224
"11/04/2015 04:59:29",3607,0.34138000,0.07346416
"11/04/2015 05:59:54",3625,0.29188430,0.31074557
"11/04/2015 06:59:57",3603,0.56644177,0.60809988
"11/04/2015 07:59:09",3552,0.59929073,0.62626636
"11/04/2015 08:59:02",3593,7.39597940,0.77157217
"11/04/2015 09:59:09",3607,1.59309411,0.73450667
"11/04/2015 10:59:15",3606,2.72657919,0.93771136
"11/04/2015 11:59:07",3592,5.83703852,0.83988583
"11/04/2015 12:59:16",3609,3.95641947,0.81294984
"11/04/2015 13:59:18",3602,3.89677477,0.81566489
"11/04/2015 14:59:10",3592,5.09128046,0.81999993
"11/04/2015 15:59:19",3609,5.91298056,0.86117917
"11/04/2015 16:59:21",3602,4.38417864,0.84850734
"11/04/2015 17:59:18",3597,2.92309690,0.85090017
"11/04/2015 18:59:21",3603,2.65782833,0.79775906
"11/04/2015 19:59:30",3609,3.96888280,0.90983260
"11/04/2015 20:59:26",3596,3.66507649,0.75272512
"11/04/2015 21:59:31",3605,3.42897582,0.72094911
"11/04/2015 22:59:41",3610,4.33199310,0.75667018
"11/04/2015 23:59:56",3615,4.43051815,0.76996183
"12/04/2015 00:59:31",3575,0.76948923,0.71059328
"12/04/2015 01:58:34",3543,0.46230248,0.69102794
"12/04/2015 02:59:35",3661,0.64614487,0.71683162
"12/04/2015 03:59:45",3610,0.54618204,0.73430115
"12/04/2015 04:58:50",3545,0.52123469,0.67123020
"12/04/2015 05:59:44",3654,0.59749627,0.62160558
"12/04/2015 06:59:53",3609,0.45648977,0.65081757
"12/04/2015 07:59:02",3549,1.36694658,0.69589859
"12/04/2015 08:59:57",3655,2.07401419,0.64483982
"12/04/2015 09:59:06",3549,1.87290168,0.10598530
"12/04/2015 10:59:09",3603,1.74422979,0.12244090
"12/04/2015 11:59:07",3598,2.93750358,0.13756008
"12/04/2015 12:59:16",3609,0.42112410,0.10382871
"12/04/2015 13:59:29",3613,1.23155558,0.09872998
"12/04/2015 14:59:24",3595,1.23003471,0.11610779
"12/04/2015 15:59:31",3607,1.19838512,0.09904510
"12/04/2015 16:59:36",3605,0.41167900,0.09748270
"12/04/2015 17:59:37",3601,1.46100020,0.11497577
"12/04/2015 18:59:42",3605,2.02718258,0.13559522
"12/04/2015 19:59:53",3611,8.61685181,0.25019574
"12/04/2015 20:59:57",3604,7.36287737,0.23126261
"12/04/2015 21:59:03",3546,0.70937145,0.09364965
"12/04/2015 22:59:10",3607,0.61244297,0.08468752
